Reference Year,Local Government,Waste Resource Recovery Group WRRG,Garbage Annual Tonnes Collected,Recycling Annual Tonnes Collected,Recycling Annual Tonnes  Processed sorted,Organics Annual Tonnes Collected,Organics Annual Tonnes Processed,Total Annual Tonnes of Waste Collected,Total Annual Tonnes of Waste Processed Sorted
2005-2006,Melbourne City Council,Metropolitan ,15370.0,5812.0,5600.0,32.96,32.96,21214.96,5632.96
2005-2006,Melton Shire Council,Metropolitan ,14389.0801,8048.6401,7251.8398,3894.04,3894.04,26331.7602,11145.879799999999
2005-2006,Mildura Rural City Council,Loddon Mallee ,9582.2803,4321.9102,3093.99,0.0,0.0,13904.1905,3093.99
2005-2006,Mitchell Shire Council,Goulburn Valley ,5259.0,2648.96,2394.96,0.0,0.0,7907.96,2394.96
2005-2006,Moira Shire Council,Goulburn Valley ,5844.0,2653.8999,2403.3,0.0,0.0,8497.8999,2403.3
2005-2006,Monash City Council,Metropolitan ,30136.2891,16417.0,16171.0,19871.0,19700.0,66424.2891,35871.0
2005-2006,Moonee Valley City Council,Metropolitan ,23895.0,12915.0,11789.7998,4521.0,4521.0,41331.0,16310.7998
2005-2006,Moorabool Shire Council,Grampians Central West ,3759.0,2308.0,2079.5,0.0,0.0,6067.0,2079.5
2005-2006,Moreland City Council,Metropolitan ,28251.0,15298.0,13369.0,6921.0,6921.0,50470.0,20290.0
2005-2006,Mornington Peninsula Shire Council,Metropolitan ,28080.0,19187.7207,18036.4609,640.0,640.0,47907.720700000005,18676.4609
2005-2006,Mount Alexander Shire Council,Loddon Mallee ,2740.0,1050.1,945.0,0.0,0.0,3790.1,945.0
2005-2006,Moyne Shire Council,Barwon South West ,3512.0,741.88,675.11,0.0,0.0,4253.88,675.11
2005-2006,Murrindindi Shire Council,Goulburn Valley ,5920.0,1128.0,1094.0,0.0,0.0,7048.0,1094.0
2005-2006,Nillumbik Shire Council,Metropolitan ,4953.0,6827.9502,5872.0298,6543.0,5561.5,18323.9502,11433.5298
2005-2006,Northern Grampians Shire Council,Grampians Central West ,1784.0,1197.0,1021.0,0.0,0.0,2981.0,1021.0
2005-2006,Port Phillip City Council,Metropolitan ,20000.0,11346.0,10438.2998,110.0,110.0,31456.0,10548.2998
2005-2006,Pyrenees Shire Council,Grampians Central West ,810.0,265.3,263.3,0.0,0.0,1075.3,263.3
2005-2006,Queenscliffe Borough Council,Barwon South West ,1100.0,445.0,432.0,100.0,100.0,1645.0,532.0
2005-2006,South Gippsland Shire Council,Gippsland ,3606.0,1621.42,1491.71,0.0,0.0,5227.42,1491.71
2005-2006,Southern Grampians Shire Council,Barwon South West ,1954.0,770.0,739.0,0.0,0.0,2724.0,739.0
2005-2006,Stonnington City Council,Metropolitan ,22692.0,12402.0,11958.0,2469.0,2469.0,37563.0,14427.0
2005-2006,Strathbogie Shire Council,Goulburn Valley ,2159.0,898.4,812.3,0.0,0.0,3057.4,812.3
2005-2006,Surf Coast Shire Council,Barwon South West ,3823.0,3357.3401,3055.54,0.0,0.0,7180.340099999999,3055.54
2005-2006,Swan Hill Rural City Council,Loddon Mallee ,8200.0,2770.52,2133.3201,0.0,0.0,10970.52,2133.3201
2005-2006,Towong Shire Council,North East ,1261.0,464.0,397.8,0.0,0.0,1725.0,397.8
2005-2006,Wangaratta Rural City Council,North East ,6404.0,4533.7598,3487.0,0.0,0.0,10937.7598,3487.0
2005-2006,Warrnambool City Council,Barwon South West ,5366.3999,3407.3999,3017.8999,0.0,0.0,8773.7998,3017.8999
2005-2006,Wellington Shire Council,Gippsland ,5713.0,3102.46,2523.73,0.0,0.0,8815.46,2523.73
2005-2006,West Wimmera Shire Council,Grampians Central West ,1163.0,457.6,457.6,0.0,0.0,1620.6,457.6
2005-2006,Whitehorse City Council,Metropolitan ,30301.0,17496.0,15887.0,1740.0,1740.0,49537.0,17627.0
2005-2006,Whittlesea City Council,Metropolitan ,26072.7793,13013.1396,10644.75,2297.8799,2297.8799,41383.7988,12942.6299
2005-2006,Wodonga City Council,North East ,6174.0,2447.0,2161.0,1458.0,1458.0,10079.0,3619.0
2005-2006,Wyndham City Council,Metropolitan ,21300.0,11773.0,10715.0,1304.0,1304.0,34377.0,12019.0
2005-2006,Yarra City Council,Metropolitan ,12566.0,8816.71,8062.8799,206.0,206.0,21588.71,8268.8799
2005-2006,Yarra Ranges Shire Council,Metropolitan ,26124.0,16650.0,10799.0,1598.0,1598.0,44372.0,12397.0
2005-2006,Yarriambiack Shire Council,Grampians Central West ,1750.0,0.0,0.0,0.0,0.0,1750.0,0.0
2006-2007,Alpine Shire Council,North East ,2358.3,1371.2,999.2,0.0,0.0,3729.5,999.2
2006-2007,Ararat Rural City Council,Grampians Central West ,1900.28,709.64,633.64,0.0,0.0,2609.92,633.64
2006-2007,Ballarat City Council,Grampians Central West ,16831.0,8618.0,7670.0,0.0,0.0,25449.0,7670.0
2006-2007,Banyule City Council,Metropolitan ,19877.0,14774.0,13389.0,8232.0,8232.0,42883.0,21621.0
2006-2007,Bass Coast Shire Council,Gippsland ,6015.3198,3019.0,2874.0,0.0,0.0,9034.319800000001,2874.0
2006-2007,Baw Baw Shire Council,Gippsland ,5963.0,3401.0,3068.0,2239.0,2239.0,11603.0,5307.0
2006-2007,Bayside City Council,Metropolitan ,18990.0,13080.0,12670.0,7100.0,7100.0,39170.0,19770.0
2006-2007,Benalla Rural City Council,North East ,3120.0,1365.23,1195.6,0.0,0.0,4485.23,1195.6
2006-2007,Boroondara City Council,Metropolitan ,36536.0,23464.5996,22056.8008,17013.0,17013.0,77013.5996,39069.8008
2006-2007,Brimbank City Council,Metropolitan ,35088.0,16469.0,14724.0,5628.0,5628.0,57185.0,20352.0
2006-2007,Buloke Shire Council,Loddon Mallee ,1776.0,619.36,538.62,0.0,0.0,2395.36,538.62
2006-2007,Campaspe Shire Council,Goulburn Valley ,8061.0,3868.0,3384.0,460.0,460.0,12389.0,3844.0
2006-2007,Cardinia Shire Council,Metropolitan ,13304.1504,5729.4702,5079.1802,718.8,718.78,19752.420599999998,5797.9601999999995
2006-2007,Casey City Council,Metropolitan ,38325.8008,23853.5703,21873.6406,19721.6699,19721.6699,81901.041,41595.3105
2006-2007,Central Goldfields Shire Council,Grampians Central West ,2340.0,529.5,498.2,80.0,80.0,2949.5,578.2
2006-2007,Colac Otway Shire Council,Barwon South West ,7649.0,2075.6499,1888.65,1691.0,1114.0,11415.6499,3002.65
2006-2007,Corangamite Shire Council,Barwon South West ,2500.0,620.0,612.98,637.0,627.5,3757.0,1240.48
2006-2007,Darebin City Council,Metropolitan ,24286.0,15029.7998,13173.7002,7568.0,7568.0,46883.7998,20741.7002
2006-2007,East Gippsland Shire Council,Gippsland ,9062.7598,4347.8398,3478.8501,0.0,0.0,13410.5996,3478.8501
2006-2007,Frankston City Council,Metropolitan ,20176.0,15939.3496,13542.0,7273.3999,7273.3999,43388.7495,20815.3999
2006-2007,Gannawarra Shire Council,Loddon Mallee ,2323.0,1272.0,1106.0,0.0,0.0,3595.0,1106.0
2006-2007,Glen Eira City Council,Metropolitan ,35089.0,12358.0,11925.5,3100.0,3100.0,50547.0,15025.5
2006-2007,Glenelg Shire Council,Barwon South West ,2428.8401,1592.11,1140.72,0.0,0.0,4020.9501,1140.72
2006-2007,Golden Plains Shire Council,Grampians Central West ,4183.0,1133.9,1088.54,0.0,0.0,5316.9,1088.54
2006-2007,Greater Bendigo City Council,Loddon Mallee ,24145.0,9039.0,8215.0,0.0,0.0,33184.0,8215.0
2006-2007,Greater Dandenong City Council,Metropolitan ,25087.0996,12365.0,10865.0,11535.1504,11535.0,48987.25,22400.0
2006-2007,Greater Geelong City Council,Barwon South West ,34079.0,26795.2891,24651.6699,18196.0391,18196.0391,79070.3282,42847.709
2006-2007,Greater Shepparton City Council,Goulburn Valley ,12340.0,6568.0,5806.0,4190.0,4150.0,23098.0,9956.0
2006-2007,Hepburn Shire Council,Grampians Central West ,1430.0,1013.0,918.6,0.0,0.0,2443.0,918.6
2006-2007,Hindmarsh Shire Council,Grampians Central West ,2016.0,299.0,241.8,0.0,0.0,2315.0,241.8
2006-2007,Hobsons Bay City Council,Metropolitan ,17605.9297,10052.0,9740.6797,3919.0,3919.0,31576.9297,13659.6797
2006-2007,Horsham Rural City Council,Grampians Central West ,5033.0,1226.09,1000.79,0.0,0.0,6259.09,1000.79
2006-2007,Hume City Council,Metropolitan ,37874.0,15346.0,12822.0,3157.0,3157.0,56377.0,15979.0
2006-2007,Indigo Shire Council,North East ,2548.0,823.2,716.45,258.0,258.0,3629.2,974.45
2006-2007,Kingston City Council,Metropolitan ,26767.3008,16867.3398,16276.9697,11347.0,11229.0,54981.6406,27505.9697
2006-2007,Knox City Council,Metropolitan ,28416.0,16165.0,15340.0,15413.0,15413.0,59994.0,30753.0
2006-2007,Latrobe City Council,Gippsland ,12488.0,7409.3999,6008.5,8571.0,8571.0,28468.3999,14579.5
2006-2007,Loddon Shire Council,Loddon Mallee ,2711.0,0.0,0.0,0.0,0.0,2711.0,0.0
2006-2007,Macedon Ranges Shire Council,Loddon Mallee ,6071.7598,3857.3,3471.6001,0.0,0.0,9929.059799999999,3471.6001
2006-2007,Manningham City Council,Metropolitan ,21316.9102,12560.5195,11317.04,12515.0,12515.0,46392.4297,23832.04
2006-2007,Mansfield Shire Council,North East ,2047.6,958.21,847.0,0.0,0.0,3005.81,847.0
2006-2007,Maribyrnong City Council,Metropolitan ,16000.0,6884.5098,5424.9902,6740.0,6740.0,29624.5098,12164.9902
2006-2007,Maroondah City Council,Metropolitan ,17729.0,12375.8799,11757.0898,10295.0,10295.0,40399.8799,22052.0898
2006-2007,Melbourne City Council,Metropolitan ,16707.0,4463.5,4146.3999,28.28,28.28,21198.78,4174.6799
2006-2007,Melton Shire Council,Metropolitan ,14302.9902,8569.3203,7724.5,2794.22,2794.22,25666.5305,10518.72
2006-2007,Mildura Rural City Council,Loddon Mallee ,9475.46,4616.3198,3341.0,0.0,0.0,14091.7798,3341.0
2006-2007,Mitchell Shire Council,Goulburn Valley ,5127.0,2887.8401,2574.21,0.0,0.0,8014.840099999999,2574.21
2006-2007,Moira Shire Council,Goulburn Valley ,5244.0,3064.8,2743.0,0.0,0.0,8308.8,2743.0
2006-2007,Monash City Council,Metropolitan ,28042.0,17590.0,17231.0,18045.0,18045.0,63677.0,35276.0
2006-2007,Moonee Valley City Council,Metropolitan ,22999.0,12888.2998,12496.5,5496.0,5496.0,41383.2998,17992.5
2006-2007,Moorabool Shire Council,Grampians Central West ,3722.0,2425.0,2303.75,0.0,0.0,6147.0,2303.75
2006-2007,Moreland City Council,Metropolitan ,27180.0,16456.0,13327.0,6520.0,6320.0,50156.0,19647.0
2006-2007,Mornington Peninsula Shire Council,Metropolitan ,27500.0,21098.0,18567.0,216.0,216.0,48814.0,18783.0
2006-2007,Mount Alexander Shire Council,Loddon Mallee ,3230.29,1370.49,1301.96,0.0,0.0,4600.78,1301.96
2006-2007,Moyne Shire Council,Barwon South West ,3500.0,800.0,720.0,3500.0,0.0,7800.0,720.0
2006-2007,Murrindindi Shire Council,Goulburn Valley ,4100.0,1319.0,1240.0,0.0,0.0,5419.0,1240.0
2006-2007,Nillumbik Shire Council,Metropolitan ,5940.0,5616.0,5168.0,8006.0,8006.0,19562.0,13174.0
2006-2007,Northern Grampians Shire Council,Grampians Central West ,2507.3101,846.77,762.0,0.0,0.0,3354.0801,762.0
2006-2007,Port Phillip City Council,Metropolitan ,19262.0,11912.0,9267.0,118.0,118.0,31292.0,9385.0
